"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department.accounting","Department.hr","Department.IT","Department.management","Department.marketing","Department.product_mng","Department.RandD","Department.sales","Department.support","Department.technical","salary","Predictions"
"2",0.8,0.86,0.714285714285714,0.845161290322581,0.6,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"3",0.11,0.88,1,0.87741935483871,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667,"1"
"4",0.72,0.87,0.714285714285714,0.719354838709677,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"9",0.89,1,0.714285714285714,0.72258064516129,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"11",0.45,0.54,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"12",0.11,0.81,0.857142857142857,0.983870967741935,0.4,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"20",0.76,0.89,0.714285714285714,0.845161290322581,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"26",0.89,0.92,0.714285714285714,0.780645161290323,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"27",0.82,0.87,0.571428571428571,0.770967741935484,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"28",0.4,0.49,0.285714285714286,0.435483870967742,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,"1"
"30",0.38,0.5,0.285714285714286,0.425806451612903,0.3,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,"1"
"31",0.09,0.62,0.857142857142857,0.948387096774194,0.4,0,"1",0,1,0,0,0,0,0,0,0,0,0,0.333333333333333,"1"
