"","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","left","promotion_last_5years","Department.accounting","Department.hr","Department.IT","Department.management","Department.marketing","Department.product_mng","Department.RandD","Department.sales","Department.support","Department.technical","salary"
"4314",0.69,0.59,0.571428571428571,0.858064516129032,0.4,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"11824",0.68,0.54,0.571428571428571,0.470967741935484,0.4,0,"0",1,0,0,0,0,1,0,0,0,0,0,0.666666666666667
"6134",0.59,0.58,0.285714285714286,0.861290322580645,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"13242",0.73,0.61,0.571428571428571,0.838709677419355,0.2,1,"0",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"14103",0.49,0.4,0.285714285714286,0.47741935483871,0.2,1,"0",1,0,0,0,1,0,0,0,0,0,0,1
"684",0.86,0.98,0.428571428571429,0.509677419354839,0.5,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.333333333333333
"7918",0.7,0.75,0.571428571428571,0.658064516129032,0.3,0,"0",0,0,0,0,0,0,0,0,0,0,1,0.666666666666667
"13380",0.17,0.36,0.857142857142857,0.616129032258064,0.2,0,"0",0,0,0,0,0,0,1,0,0,0,0,0.666666666666667
"8267",0.61,0.95,0.428571428571429,0.429032258064516,0.5,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"6845",0.76,0.77,0.714285714285714,0.754838709677419,0.3,0,"0",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"14342",0.1,0.83,0.857142857142857,0.941935483870968,0.4,0,"1",0,0,0,0,0,0,0,0,0,1,0,0.333333333333333
"6795",0.61,1,0.714285714285714,0.448387096774194,0.2,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"10155",0.72,0.66,0.428571428571429,0.432258064516129,0.3,0,"0",0,1,0,0,0,0,0,0,0,0,0,0.666666666666667
"8582",0.71,0.84,0.428571428571429,0.448387096774194,0.2,0,"0",0,0,1,0,0,0,0,0,0,0,0,0.333333333333333
"1543",0.44,0.52,0.285714285714286,0.412903225806452,0.3,0,"1",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
"13483",0.58,0.59,0.428571428571429,0.667741935483871,0.7,0,"0",1,0,0,0,1,0,0,0,0,0,0,0.666666666666667
"3688",0.85,0.79,0.428571428571429,0.503225806451613,0.3,0,"0",0,0,0,0,0,0,0,0,1,0,0,0.666666666666667
